[2021-05-22 22:06:27.723] Starting up round ID 29.
 - -------------------------
[2021-05-22 23:23:45.980] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  ) "Entre si" (language: Galactic Common) (Followers of the Apocalypse (94, 57, 2))
[2021-05-22 23:24:08.653] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  ) "Se todos unimos podemos trazer de volta a civilização" (language: Galactic Common) (Followers of the Apocalypse (94, 57, 2))
[2021-05-22 23:24:57.089] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  ) "Essa nao é uma guerra apenas de bomba... é uma guerra pela nossa humanidade..." (language: Galactic Common) (Followers of the Apocalypse (94, 57, 2))
[2021-05-22 23:25:03.907] TCOMMS: alexalbright/(Darios Scalicius) [Common] (spans:  ) "Isso é um isulto, um guerreiro incapaz de lutar, é a mesma coisa que uma passaro não poder voar" (language: Galactic Common) (Wasteland (178, 67, 2))
[2021-05-22 23:26:14.312] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  ) "Papel dos guerreiros é proteger as pessoas dos montros nao mata nosso irmão e irmas humanos" (language: Galactic Common) (Followers of the Apocalypse (94, 56, 2))
[2021-05-22 23:26:55.449] TCOMMS: goldencatc/(Roswell Sutton) [Common] (spans:  ) "Não venha com discurso de humanidade. Estamos sobrevivendo através de dominâncias, aquisições e conquistas. Não gostamos de derramar sangue, todavia, para os inimigos do Capítulo assim será." (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 204, 3))
[2021-05-22 23:28:41.202] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Elder tem quantos vivos?" (language: Galactic Common) (Brotherhood of Steel Medbay (239, 216, 3))
[2021-05-22 23:29:04.243] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Preciso de um paladino para ir comigo em outra expedição." (language: Galactic Common) (Brotherhood of Steel (170, 219, 2))
[2021-05-22 23:29:26.020] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "De preferência com ferramentas, eu consegui localidades com tecnologia pre-war e computadores." (language: Galactic Common) (Brotherhood of Steel (170, 219, 2))
[2021-05-22 23:29:47.790] TCOMMS: josinhodasquebrada/(Belzebuth Azazel) [BOS] (spans:  ) "Eu vou" (language: Galactic Common) (Brotherhood of Steel Operations Department (242, 243, 3))
[2021-05-22 23:29:48.669] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Estou no portão." (language: Galactic Common) (Brotherhood of Steel (169, 220, 2))
[2021-05-22 23:37:14.668] TCOMMS: josinhodasquebrada/(Belzebuth Azazel) [BOS] (spans:  ) "Vem" (language: Galactic Common) (Tunnel (139, 173, 3))
[2021-05-22 23:39:03.574] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Porta tá feita" (language: Galactic Common) (Wasteland (169, 211, 2))
[2021-05-22 23:40:41.361] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Alguem me faz o circuito da turret?" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 231, 3))
[2021-05-22 23:41:17.146] TCOMMS: N0fun/(Makenna Coldsmith) [BOS] (spans:  ) "Não tem circuito" (language: Galactic Common) (Brotherhood of Steel RnD Department (234, 199, 3))
[2021-05-22 23:43:30.011] TCOMMS: josinhodasquebrada/(Belzebuth Azazel) [BOS] (spans:  ) "Cade ti" (language: Galactic Common) (Wasteland (155, 182, 2))
[2021-05-22 23:48:35.085] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Estamos voltando para base com novos recursos." (language: Galactic Common) (Wasteland (182, 189, 2))
[2021-05-22 23:48:50.209] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Abram os portões." (language: Galactic Common) (Wasteland (175, 204, 2))
